[NOTICE] time[2015-05-09 10:00:30] method[GET] remoteIP[::1] requestURI[/watcher] classPath[/Users/zhangyuri/站点/app/watcher/action/Auth.php] 
[NOTICE] time[2015-05-09 10:02:06] method[GET] remoteIP[::1] requestURI[/watcher] classPath[/Users/zhangyuri/站点/app/watcher/action/Auth.php] 
[NOTICE] time[2015-05-09 10:02:35] method[GET] remoteIP[::1] requestURI[/watcher] classPath[/Users/zhangyuri/站点/app/watcher/action/Auth.php] 
[NOTICE] time[2015-05-09 10:03:22] method[GET] remoteIP[::1] requestURI[/watcher] classPath[/Users/zhangyuri/站点/app/watcher/action/Auth.php] 
[NOTICE] time[2015-05-09 10:05:10] method[GET] remoteIP[::1] requestURI[/watcher] auth[success] 
[NOTICE] time[2015-05-09 10:05:17] method[GET] remoteIP[::1] requestURI[/watcher] auth[success] 
[NOTICE] time[2015-05-09 10:05:27] method[GET] remoteIP[::1] requestURI[/watcher] auth[success] 
[NOTICE] time[2015-05-09 10:05:31] method[GET] remoteIP[::1] requestURI[/watcher] auth[fail] 
[NOTICE] time[2015-05-09 10:05:33] method[GET] remoteIP[::1] requestURI[/watcher] auth[success] 
[NOTICE] time[2015-05-09 10:52:35] method[GET] remoteIP[::1] requestURI[/watcher] auth[success] isDebug[1] 
[NOTICE] time[2015-05-09 10:52:41] method[GET] remoteIP[::1] requestURI[/watcher] auth[success] isDebug[1] 
[NOTICE] time[2015-05-09 10:55:45] method[GET] remoteIP[::1] requestURI[/watcher] auth[success] isDebug[1] 
[NOTICE] time[2015-05-09 10:55:55] method[GET] remoteIP[::1] requestURI[/watcher] auth[success] isDebug[1] 
[NOTICE] time[2015-05-09 10:59:45] method[GET] remoteIP[::1] requestURI[/watcher] auth[success] isDebug[1] 
[NOTICE] time[2015-05-09 11:05:22] method[GET] remoteIP[::1] requestURI[/watcher] auth[success] isDebug[1] 
[NOTICE] time[2015-05-09 11:05:37] method[GET] remoteIP[::1] requestURI[/watcher] auth[success] isDebug[1] 
[NOTICE] time[2015-05-09 11:06:16] method[GET] remoteIP[::1] requestURI[/watcher] auth[success] isDebug[1] 
[NOTICE] time[2015-05-09 11:06:18] method[GET] remoteIP[::1] requestURI[/watcher] auth[success] isDebug[1] 
[NOTICE] time[2015-05-09 11:12:19] method[GET] remoteIP[::1] requestURI[/watcher] auth[success] isDebug[1] 
[NOTICE] time[2015-05-09 11:12:53] method[GET] remoteIP[::1] requestURI[/watcher] auth[success] isDebug[1] 
[NOTICE] time[2015-05-09 11:12:54] method[GET] remoteIP[::1] requestURI[/watcher/user] auth[success] isDebug[1] 
[NOTICE] time[2015-05-09 11:12:57] method[GET] remoteIP[::1] requestURI[/watcher/country] auth[success] isDebug[1] 
[NOTICE] time[2015-05-09 11:12:59] method[GET] remoteIP[::1] requestURI[/watcher/map] auth[success] isDebug[1] 
[NOTICE] time[2015-05-09 11:13:24] method[GET] remoteIP[::1] requestURI[/] auth[success] isDebug[1] 
[NOTICE] time[2015-05-09 11:13:26] method[GET] remoteIP[::1] requestURI[/watcher/user] auth[success] isDebug[1] 
[NOTICE] time[2015-05-09 11:13:28] method[GET] remoteIP[::1] requestURI[/] auth[success] isDebug[1] 
[NOTICE] time[2015-05-09 11:14:42] method[GET] remoteIP[::1] requestURI[/] auth[success] isDebug[1] 
[NOTICE] time[2015-05-09 11:14:44] method[GET] remoteIP[::1] requestURI[/] auth[success] isDebug[1] 
[NOTICE] time[2015-05-09 11:14:53] method[GET] remoteIP[::1] requestURI[/] auth[success] isDebug[1] 
[NOTICE] time[2015-05-09 11:20:07] method[GET] remoteIP[::1] requestURI[/] auth[success] isDebug[1] 
[NOTICE] time[2015-05-09 11:20:09] method[GET] remoteIP[::1] requestURI[/] auth[success] isDebug[1] 
[NOTICE] time[2015-05-09 11:20:16] method[GET] remoteIP[::1] requestURI[/] auth[success] isDebug[1] 
[NOTICE] time[2015-05-09 11:20:29] method[GET] remoteIP[::1] requestURI[/] auth[success] isDebug[1] 
[NOTICE] time[2015-05-09 11:20:32] method[GET] remoteIP[::1] requestURI[/] auth[success] isDebug[1] 
[NOTICE] time[2015-05-09 11:21:20] method[GET] remoteIP[::1] requestURI[/] auth[success] isDebug[1] 
[NOTICE] time[2015-05-09 11:21:27] method[GET] remoteIP[::1] requestURI[/] auth[success] isDebug[1] 
[NOTICE] time[2015-05-09 11:21:36] method[GET] remoteIP[::1] requestURI[/] auth[success] isDebug[1] 
[NOTICE] time[2015-05-09 11:22:12] method[GET] remoteIP[::1] requestURI[/] auth[success] isDebug[1] 
[NOTICE] time[2015-05-09 11:22:19] method[GET] remoteIP[::1] requestURI[/] auth[success] isDebug[1] 
[NOTICE] time[2015-05-09 11:22:21] method[GET] remoteIP[::1] requestURI[/] auth[success] isDebug[1] 
[NOTICE] time[2015-05-09 11:22:22] method[GET] remoteIP[::1] requestURI[/] auth[success] isDebug[1] 
[NOTICE] time[2015-05-09 11:22:49] method[GET] remoteIP[::1] requestURI[/] auth[success] isDebug[1] 
[NOTICE] time[2015-05-09 11:22:53] method[GET] remoteIP[::1] requestURI[/] auth[success] isDebug[1] 
[NOTICE] time[2015-05-09 11:23:42] method[GET] remoteIP[::1] requestURI[/] auth[success] isDebug[1] 
[NOTICE] time[2015-05-09 11:24:03] method[GET] remoteIP[::1] requestURI[/] auth[success] isDebug[1] 
[NOTICE] time[2015-05-09 11:26:19] method[GET] remoteIP[::1] requestURI[/] auth[success] isDebug[1] 
[NOTICE] time[2015-05-09 15:16:02] method[GET] remoteIP[::1] requestURI[/] auth[success] isDebug[1] 
[NOTICE] time[2015-05-09 15:16:31] method[GET] remoteIP[::1] requestURI[/] auth[success] isDebug[1] 
[NOTICE] time[2015-05-09 15:16:43] method[GET] remoteIP[::1] requestURI[/] auth[success] isDebug[1] 
[NOTICE] time[2015-05-09 15:17:05] method[GET] remoteIP[::1] requestURI[/] auth[success] isDebug[1] 
[NOTICE] time[2015-05-09 15:17:15] method[GET] remoteIP[::1] requestURI[/] auth[success] isDebug[1] 
[NOTICE] time[2015-05-09 16:17:45] method[GET] remoteIP[::1] requestURI[/] auth[success] isDebug[1] 
[NOTICE] time[2015-05-09 16:18:23] method[GET] remoteIP[::1] requestURI[/] auth[success] isDebug[1] 
[NOTICE] time[2015-05-09 16:18:37] method[GET] remoteIP[::1] requestURI[/] auth[success] isDebug[1] 
[NOTICE] time[2015-05-09 16:18:56] method[GET] remoteIP[::1] requestURI[/] auth[success] isDebug[1] 
[NOTICE] time[2015-05-09 16:20:35] method[GET] remoteIP[::1] requestURI[/] auth[success] isDebug[1] 
[NOTICE] time[2015-05-09 16:20:43] method[GET] remoteIP[::1] requestURI[/] auth[success] isDebug[1] 
[NOTICE] time[2015-05-09 16:20:53] method[GET] remoteIP[::1] requestURI[/] auth[success] isDebug[1] 
[NOTICE] time[2015-05-09 16:20:58] method[GET] remoteIP[::1] requestURI[/] auth[success] isDebug[1] 
[NOTICE] time[2015-05-09 16:21:18] method[GET] remoteIP[::1] requestURI[/] auth[success] isDebug[1] 
[NOTICE] time[2015-05-09 16:21:24] method[GET] remoteIP[::1] requestURI[/] auth[success] isDebug[1] 
[NOTICE] time[2015-05-09 16:23:47] method[GET] remoteIP[::1] requestURI[/] auth[success] isDebug[1] 
[NOTICE] time[2015-05-09 16:24:15] method[GET] remoteIP[::1] requestURI[/watcher/user] auth[success] isDebug[1] 
[NOTICE] time[2015-05-09 16:24:17] method[GET] remoteIP[::1] requestURI[/] auth[success] isDebug[1] 
[NOTICE] time[2015-05-09 16:28:27] method[GET] remoteIP[::1] requestURI[/] auth[success] isDebug[1] 
[NOTICE] time[2015-05-09 16:28:58] method[GET] remoteIP[::1] requestURI[/] auth[success] isDebug[1] 
[NOTICE] time[2015-05-09 16:29:00] method[GET] remoteIP[::1] requestURI[/] auth[success] isDebug[1] 
[NOTICE] time[2015-05-09 16:29:02] method[GET] remoteIP[::1] requestURI[/] auth[success] isDebug[1] 
[NOTICE] time[2015-05-09 16:29:14] method[GET] remoteIP[::1] requestURI[/] auth[success] isDebug[1] 
[NOTICE] time[2015-05-09 16:29:40] method[GET] remoteIP[::1] requestURI[/] auth[success] isDebug[1] 
[NOTICE] time[2015-05-09 16:29:50] method[GET] remoteIP[::1] requestURI[/] auth[success] isDebug[1] 
[NOTICE] time[2015-05-09 16:29:56] method[GET] remoteIP[::1] requestURI[/] auth[success] isDebug[1] 
[NOTICE] time[2015-05-09 16:31:00] method[GET] remoteIP[::1] requestURI[/] auth[success] isDebug[1] 
[NOTICE] time[2015-05-09 16:31:00] method[GET] remoteIP[::1] requestURI[/] auth[success] isDebug[1] 
[NOTICE] time[2015-05-09 16:31:26] method[GET] remoteIP[::1] requestURI[/] auth[success] isDebug[1] 
[NOTICE] time[2015-05-09 16:32:14] method[GET] remoteIP[::1] requestURI[/] auth[success] isDebug[1] 
[NOTICE] time[2015-05-09 16:32:50] method[GET] remoteIP[::1] requestURI[/] auth[success] isDebug[1] 
[NOTICE] time[2015-05-09 16:36:17] method[GET] remoteIP[::1] requestURI[/] auth[success] isDebug[1] 
[NOTICE] time[2015-05-09 16:37:19] method[GET] remoteIP[::1] requestURI[/] auth[success] isDebug[1] 
[NOTICE] time[2015-05-09 16:37:20] method[GET] remoteIP[::1] requestURI[/] auth[success] isDebug[1] 
[NOTICE] time[2015-05-09 16:37:21] method[GET] remoteIP[::1] requestURI[/] auth[success] isDebug[1] 
[NOTICE] time[2015-05-09 16:37:28] method[GET] remoteIP[::1] requestURI[/] auth[success] isDebug[1] 
[NOTICE] time[2015-05-09 16:39:04] method[GET] remoteIP[::1] requestURI[/] auth[success] isDebug[1] 
[NOTICE] time[2015-05-09 16:39:37] method[GET] remoteIP[::1] requestURI[/] auth[success] isDebug[1] 
[NOTICE] time[2015-05-09 16:40:32] method[GET] remoteIP[::1] requestURI[/] auth[success] isDebug[1] 
[NOTICE] time[2015-05-09 16:40:33] method[GET] remoteIP[::1] requestURI[/] auth[success] isDebug[1] 
[NOTICE] time[2015-05-09 16:40:43] method[GET] remoteIP[::1] requestURI[/] auth[success] isDebug[1] 
[NOTICE] time[2015-05-09 16:40:48] method[GET] remoteIP[::1] requestURI[/] auth[success] isDebug[1] 
[NOTICE] time[2015-05-09 16:40:56] method[GET] remoteIP[::1] requestURI[/] auth[success] isDebug[1] 
[NOTICE] time[2015-05-09 16:41:42] method[GET] remoteIP[::1] requestURI[/] auth[success] isDebug[1] 
[NOTICE] time[2015-05-09 16:42:05] method[GET] remoteIP[::1] requestURI[/] auth[success] isDebug[1] 
[NOTICE] time[2015-05-09 16:43:48] method[GET] remoteIP[::1] requestURI[/] auth[success] isDebug[1] 
[NOTICE] time[2015-05-09 16:44:42] method[GET] remoteIP[::1] requestURI[/] auth[success] isDebug[1] 
[NOTICE] time[2015-05-09 16:44:49] method[GET] remoteIP[::1] requestURI[/] auth[success] isDebug[1] 
[NOTICE] time[2015-05-09 16:44:53] method[GET] remoteIP[::1] requestURI[/] auth[success] isDebug[1] 
[NOTICE] time[2015-05-09 16:45:10] method[GET] remoteIP[::1] requestURI[/] auth[success] isDebug[1] 
[NOTICE] time[2015-05-09 16:45:22] method[GET] remoteIP[::1] requestURI[/] auth[success] isDebug[1] 
[NOTICE] time[2015-05-09 16:45:29] method[GET] remoteIP[::1] requestURI[/watcher/map] auth[success] isDebug[1] 
[NOTICE] time[2015-05-09 16:45:36] method[GET] remoteIP[::1] requestURI[/] auth[success] isDebug[1] 
[NOTICE] time[2015-05-09 16:46:21] method[GET] remoteIP[::1] requestURI[/] auth[success] isDebug[1] 
[NOTICE] time[2015-05-09 16:47:25] method[GET] remoteIP[::1] requestURI[/] auth[success] isDebug[1] 
[NOTICE] time[2015-05-09 16:47:35] method[GET] remoteIP[::1] requestURI[/] auth[success] isDebug[1] 
[NOTICE] time[2015-05-09 16:49:00] method[GET] remoteIP[::1] requestURI[/] auth[success] isDebug[1] 
[NOTICE] time[2015-05-09 16:49:01] method[GET] remoteIP[::1] requestURI[/] auth[success] isDebug[1] 
[NOTICE] time[2015-05-09 16:49:20] method[GET] remoteIP[::1] requestURI[/] auth[success] isDebug[1] 
[NOTICE] time[2015-05-09 16:49:21] method[GET] remoteIP[::1] requestURI[/?topic=] auth[success] isDebug[1] 
[NOTICE] time[2015-05-09 16:49:21] method[GET] remoteIP[::1] requestURI[/?topic=] auth[success] isDebug[1] 
[NOTICE] time[2015-05-09 16:49:23] method[GET] remoteIP[::1] requestURI[/?topic=] auth[success] isDebug[1] 
[NOTICE] time[2015-05-09 16:49:24] method[GET] remoteIP[::1] requestURI[/?topic=] auth[success] isDebug[1] 
[NOTICE] time[2015-05-09 16:49:28] method[GET] remoteIP[::1] requestURI[/?topic=test] auth[success] isDebug[1] 
[NOTICE] time[2015-05-09 16:49:33] method[GET] remoteIP[::1] requestURI[/] auth[success] isDebug[1] 
[NOTICE] time[2015-05-09 16:49:37] method[GET] remoteIP[::1] requestURI[/?topic=test] auth[success] isDebug[1] 
[NOTICE] time[2015-05-09 16:49:39] method[GET] remoteIP[::1] requestURI[/] auth[success] isDebug[1] 
[NOTICE] time[2015-05-09 16:49:46] method[GET] remoteIP[::1] requestURI[/] auth[success] isDebug[1] 
[NOTICE] time[2015-05-09 16:49:49] method[POST] remoteIP[::1] requestURI[/] auth[success] isDebug[1] 
[NOTICE] time[2015-05-09 16:49:50] method[GET] remoteIP[::1] requestURI[/] auth[success] isDebug[1] 
[NOTICE] time[2015-05-09 16:49:55] method[GET] remoteIP[::1] requestURI[/] auth[success] isDebug[1] 
[NOTICE] time[2015-05-09 16:49:57] method[POST] remoteIP[::1] requestURI[/] auth[success] isDebug[1] 
[NOTICE] time[2015-05-09 16:49:58] method[GET] remoteIP[::1] requestURI[/] auth[success] isDebug[1] 
[NOTICE] time[2015-05-09 16:50:41] method[GET] remoteIP[::1] requestURI[/] auth[success] isDebug[1] 
[NOTICE] time[2015-05-09 16:51:09] method[GET] remoteIP[::1] requestURI[/] auth[success] isDebug[1] 
[NOTICE] time[2015-05-09 16:51:18] method[GET] remoteIP[::1] requestURI[/] auth[success] isDebug[1] 
[NOTICE] time[2015-05-09 16:51:26] method[GET] remoteIP[::1] requestURI[/] auth[success] isDebug[1] 
[NOTICE] time[2015-05-09 16:52:51] method[GET] remoteIP[::1] requestURI[/] auth[success] isDebug[1] 
[NOTICE] time[2015-05-09 16:53:02] method[GET] remoteIP[::1] requestURI[/] auth[success] isDebug[1] 
[NOTICE] time[2015-05-09 16:53:44] method[GET] remoteIP[::1] requestURI[/] auth[success] isDebug[1] 
[NOTICE] time[2015-05-09 16:53:48] method[GET] remoteIP[::1] requestURI[/] auth[success] isDebug[1] 
[NOTICE] time[2015-05-09 16:53:56] method[GET] remoteIP[::1] requestURI[/] auth[success] isDebug[1] 
[NOTICE] time[2015-05-09 16:54:29] method[GET] remoteIP[::1] requestURI[/] auth[success] isDebug[1] 
[NOTICE] time[2015-05-09 16:54:40] method[GET] remoteIP[::1] requestURI[/] auth[success] isDebug[1] 
[NOTICE] time[2015-05-09 16:54:46] method[GET] remoteIP[::1] requestURI[/] auth[success] isDebug[1] 
[NOTICE] time[2015-05-09 16:54:53] method[GET] remoteIP[::1] requestURI[/] auth[success] isDebug[1] 
[NOTICE] time[2015-05-09 16:55:02] method[GET] remoteIP[::1] requestURI[/] auth[success] isDebug[1] 
[NOTICE] time[2015-05-09 16:55:17] method[GET] remoteIP[::1] requestURI[/] auth[success] isDebug[1] 
[NOTICE] time[2015-05-09 16:56:15] method[GET] remoteIP[::1] requestURI[/] auth[success] isDebug[1] 
[NOTICE] time[2015-05-09 16:57:14] method[POST] remoteIP[::1] requestURI[/] auth[success] isDebug[1] 
[NOTICE] time[2015-05-09 16:57:18] method[GET] remoteIP[::1] requestURI[/] auth[success] isDebug[1] 
[NOTICE] time[2015-05-09 16:58:18] method[GET] remoteIP[::1] requestURI[/] auth[success] isDebug[1] 
[NOTICE] time[2015-05-09 16:58:23] method[GET] remoteIP[::1] requestURI[/] auth[success] isDebug[1] 
[NOTICE] time[2015-05-09 16:59:57] method[GET] remoteIP[::1] requestURI[/] auth[success] isDebug[1] 
[NOTICE] time[2015-05-09 17:00:03] method[GET] remoteIP[::1] requestURI[/] auth[success] isDebug[1] 
[NOTICE] time[2015-05-09 17:02:08] method[GET] remoteIP[::1] requestURI[/] auth[success] isDebug[1] 
[NOTICE] time[2015-05-09 17:02:20] method[GET] remoteIP[::1] requestURI[/] auth[success] isDebug[1] 
[NOTICE] time[2015-05-09 17:02:33] method[GET] remoteIP[::1] requestURI[/] auth[success] isDebug[1] 
[NOTICE] time[2015-05-09 17:02:37] method[POST] remoteIP[::1] requestURI[/watcher/country] auth[success] isDebug[1] 
[NOTICE] time[2015-05-09 17:02:42] method[GET] remoteIP[::1] requestURI[/] auth[success] isDebug[1] 
[NOTICE] time[2015-05-09 17:02:43] method[GET] remoteIP[::1] requestURI[/] auth[success] isDebug[1] 
[NOTICE] time[2015-05-09 17:03:52] method[GET] remoteIP[::1] requestURI[/] auth[success] isDebug[1] 
[NOTICE] time[2015-05-09 17:03:58] method[GET] remoteIP[::1] requestURI[/] auth[success] isDebug[1] 
[NOTICE] time[2015-05-09 17:04:42] method[GET] remoteIP[::1] requestURI[/] auth[success] isDebug[1] 
[NOTICE] time[2015-05-09 17:08:15] method[GET] remoteIP[::1] requestURI[/] auth[success] isDebug[1] 
[NOTICE] time[2015-05-09 17:08:27] method[GET] remoteIP[::1] requestURI[/] auth[success] isDebug[1] 
[NOTICE] time[2015-05-09 17:08:33] method[GET] remoteIP[::1] requestURI[/] auth[success] isDebug[1] 
[NOTICE] time[2015-05-09 17:09:33] method[GET] remoteIP[::1] requestURI[/] auth[success] isDebug[1] 
[NOTICE] time[2015-05-09 17:10:08] method[GET] remoteIP[::1] requestURI[/] auth[success] isDebug[1] 
[NOTICE] time[2015-05-09 17:10:08] method[GET] remoteIP[::1] requestURI[/watcher/echarts/chart/map.js] cannot find class Action_Echarts_Chart_Map.js
[NOTICE] time[2015-05-09 17:10:08] method[GET] remoteIP[::1] requestURI[/watcher/echarts/chart/map.js] auth[success] 
[NOTICE] time[2015-05-09 17:10:30] method[GET] remoteIP[::1] requestURI[/] auth[success] isDebug[1] 
[NOTICE] time[2015-05-09 17:10:31] method[GET] remoteIP[::1] requestURI[/watcher/echarts.js] cannot find class Action_Echarts.js
[NOTICE] time[2015-05-09 17:10:31] method[GET] remoteIP[::1] requestURI[/watcher/echarts.js] auth[success] 
[NOTICE] time[2015-05-09 17:10:31] method[GET] remoteIP[::1] requestURI[/watcher/echarts/chart/map.js] cannot find class Action_Echarts_Chart_Map.js
[NOTICE] time[2015-05-09 17:10:31] method[GET] remoteIP[::1] requestURI[/watcher/echarts/chart/map.js] auth[success] 
[NOTICE] time[2015-05-09 17:10:46] method[GET] remoteIP[::1] requestURI[/] auth[success] isDebug[1] 
[NOTICE] time[2015-05-09 17:11:03] method[GET] remoteIP[::1] requestURI[/] auth[success] isDebug[1] 
[NOTICE] time[2015-05-09 17:11:21] method[GET] remoteIP[::1] requestURI[/] auth[success] isDebug[1] 
[NOTICE] time[2015-05-09 17:11:33] method[GET] remoteIP[::1] requestURI[/] auth[success] isDebug[1] 
[NOTICE] time[2015-05-09 17:11:46] method[GET] remoteIP[::1] requestURI[/] auth[success] isDebug[1] 
[NOTICE] time[2015-05-09 17:11:51] method[GET] remoteIP[::1] requestURI[/] auth[success] isDebug[1] 
[NOTICE] time[2015-05-09 17:11:59] method[GET] remoteIP[::1] requestURI[/] auth[success] isDebug[1] 
[NOTICE] time[2015-05-09 17:12:05] method[GET] remoteIP[::1] requestURI[/] auth[success] isDebug[1] 
[NOTICE] time[2015-05-09 17:12:08] method[GET] remoteIP[::1] requestURI[/] auth[success] isDebug[1] 
[NOTICE] time[2015-05-09 17:14:33] method[GET] remoteIP[::1] requestURI[/] auth[success] isDebug[1] 
[NOTICE] time[2015-05-09 17:14:38] method[GET] remoteIP[::1] requestURI[/] auth[success] isDebug[1] 
[NOTICE] time[2015-05-09 17:14:41] method[GET] remoteIP[::1] requestURI[/] auth[success] isDebug[1] 
[NOTICE] time[2015-05-09 17:14:45] method[GET] remoteIP[::1] requestURI[/] auth[success] isDebug[1] 
[NOTICE] time[2015-05-09 17:15:10] method[GET] remoteIP[::1] requestURI[/] auth[success] isDebug[1] 
[NOTICE] time[2015-05-09 17:15:24] method[GET] remoteIP[::1] requestURI[/] auth[success] isDebug[1] 
[NOTICE] time[2015-05-09 17:15:26] method[GET] remoteIP[::1] requestURI[/] auth[success] isDebug[1] 
[NOTICE] time[2015-05-09 17:15:29] method[GET] remoteIP[::1] requestURI[/] auth[success] isDebug[1] 
[NOTICE] time[2015-05-09 17:16:46] method[GET] remoteIP[::1] requestURI[/] auth[success] isDebug[1] 
[NOTICE] time[2015-05-09 17:16:54] method[GET] remoteIP[::1] requestURI[/] auth[success] isDebug[1] 
[NOTICE] time[2015-05-09 17:17:25] method[GET] remoteIP[::1] requestURI[/] auth[success] isDebug[1] 
[NOTICE] time[2015-05-09 17:17:30] method[GET] remoteIP[::1] requestURI[/] auth[success] isDebug[1] 
[NOTICE] time[2015-05-09 17:17:56] method[GET] remoteIP[::1] requestURI[/] auth[success] isDebug[1] 
[NOTICE] time[2015-05-09 17:20:48] method[GET] remoteIP[::1] requestURI[/] auth[success] isDebug[1] 
[NOTICE] time[2015-05-09 17:20:51] method[GET] remoteIP[::1] requestURI[/] auth[success] isDebug[1] 
[NOTICE] time[2015-05-09 17:21:11] method[GET] remoteIP[::1] requestURI[/] auth[success] isDebug[1] 
[NOTICE] time[2015-05-09 17:21:28] method[GET] remoteIP[::1] requestURI[/] auth[success] isDebug[1] 
[NOTICE] time[2015-05-09 17:21:54] method[GET] remoteIP[::1] requestURI[/] auth[success] isDebug[1] 
[NOTICE] time[2015-05-09 17:22:09] method[GET] remoteIP[::1] requestURI[/] auth[success] isDebug[1] 
[NOTICE] time[2015-05-09 17:22:53] method[GET] remoteIP[::1] requestURI[/] auth[success] isDebug[1] 
[NOTICE] time[2015-05-09 17:22:59] method[GET] remoteIP[::1] requestURI[/] auth[success] isDebug[1] 
[NOTICE] time[2015-05-09 17:23:03] method[GET] remoteIP[::1] requestURI[/] auth[success] isDebug[1] 
[NOTICE] time[2015-05-09 17:23:06] method[GET] remoteIP[::1] requestURI[/] auth[success] isDebug[1] 
[NOTICE] time[2015-05-09 17:23:13] method[GET] remoteIP[::1] requestURI[/] auth[success] isDebug[1] 
[NOTICE] time[2015-05-09 17:23:17] method[GET] remoteIP[::1] requestURI[/] auth[success] isDebug[1] 
[NOTICE] time[2015-05-09 17:23:35] method[GET] remoteIP[::1] requestURI[/] auth[success] isDebug[1] 
[NOTICE] time[2015-05-09 17:23:46] method[GET] remoteIP[::1] requestURI[/] auth[success] isDebug[1] 
[NOTICE] time[2015-05-09 17:23:53] method[GET] remoteIP[::1] requestURI[/] auth[success] isDebug[1] 
[NOTICE] time[2015-05-09 17:23:56] method[GET] remoteIP[::1] requestURI[/] auth[success] isDebug[1] 
[NOTICE] time[2015-05-09 17:24:01] method[GET] remoteIP[::1] requestURI[/] auth[success] isDebug[1] 
[NOTICE] time[2015-05-09 17:24:20] method[GET] remoteIP[::1] requestURI[/] auth[success] isDebug[1] 
[NOTICE] time[2015-05-09 17:25:15] method[GET] remoteIP[::1] requestURI[/] auth[success] isDebug[1] 
[NOTICE] time[2015-05-09 17:26:12] method[GET] remoteIP[::1] requestURI[/] auth[success] isDebug[1] 
[NOTICE] time[2015-05-09 17:27:04] method[GET] remoteIP[::1] requestURI[/] auth[success] isDebug[1] 
[NOTICE] time[2015-05-09 17:27:11] method[GET] remoteIP[::1] requestURI[/] auth[success] isDebug[1] 
[NOTICE] time[2015-05-09 17:28:06] method[GET] remoteIP[::1] requestURI[/] auth[success] isDebug[1] 
[NOTICE] time[2015-05-09 17:28:11] method[GET] remoteIP[::1] requestURI[/] auth[success] isDebug[1] 
[NOTICE] time[2015-05-09 17:28:17] method[GET] remoteIP[::1] requestURI[/] auth[success] isDebug[1] 
[NOTICE] time[2015-05-09 17:28:26] method[GET] remoteIP[::1] requestURI[/] auth[success] isDebug[1] 
[NOTICE] time[2015-05-09 17:28:45] method[GET] remoteIP[::1] requestURI[/] auth[success] isDebug[1] 
[NOTICE] time[2015-05-09 17:28:48] method[GET] remoteIP[::1] requestURI[/] auth[success] isDebug[1] 
[NOTICE] time[2015-05-09 17:29:25] method[GET] remoteIP[::1] requestURI[/] auth[success] isDebug[1] 
[NOTICE] time[2015-05-09 17:31:34] method[GET] remoteIP[::1] requestURI[/] auth[success] isDebug[1] 
[NOTICE] time[2015-05-09 17:48:42] method[GET] remoteIP[::1] requestURI[/] auth[success] isDebug[1] 
[NOTICE] time[2015-05-09 17:49:36] method[GET] remoteIP[::1] requestURI[/] auth[success] isDebug[1] 
